INFO:__mp_main__:< current epoch -> 7 || 11 of 14 done || time elapsed 7.145127058029175 || current lr -> 0.0001 || current loss -> 0.14321765303611755 >
INFO:__mp_main__:< current epoch -> 7 || 12 of 14 done || time elapsed 7.139939308166504 || current lr -> 0.0001 || current loss -> 0.14765718579292297 >
INFO:__mp_main__:< current epoch -> 7 || 13 of 14 done || time elapsed 7.134288787841797 || current lr -> 0.0001 || current loss -> 0.15081749856472015 >
INFO:__mp_main__:< current epoch -> 7 || 14 of 14 done || time elapsed 4.9472129344940186 || current lr -> 0.0001 || current loss -> 0.14216992259025574 >
INFO:__mp_main__:------------------------------------ 8 of 100 done, total loss 0.1499886949147497 ------------------------------------
INFO:__mp_main__:< current epoch -> 8 || 1 of 14 done || time elapsed 7.151166677474976 || current lr -> 0.0001 || current loss -> 0.15762564539909363 >
INFO:__mp_main__:< current epoch -> 8 || 2 of 14 done || time elapsed 7.144892930984497 || current lr -> 0.0001 || current loss -> 0.15345902740955353 >
INFO:__mp_main__:< current epoch -> 8 || 3 of 14 done || time elapsed 7.145212888717651 || current lr -> 0.0001 || current loss -> 0.1518014669418335 >
INFO:__mp_main__:< current epoch -> 8 || 4 of 14 done || time elapsed 7.143599987030029 || current lr -> 0.0001 || current loss -> 0.14981822669506073 >
INFO:__mp_main__:< current epoch -> 8 || 5 of 14 done || time elapsed 7.126907587051392 || current lr -> 0.0001 || current loss -> 0.15429706871509552 >
INFO:__mp_main__:< current epoch -> 8 || 6 of 14 done || time elapsed 7.132619619369507 || current lr -> 0.0001 || current loss -> 0.14700445532798767 >
INFO:__mp_main__:< current epoch -> 8 || 7 of 14 done || time elapsed 7.134918689727783 || current lr -> 0.0001 || current loss -> 0.1396006941795349 >
INFO:__mp_main__:< current epoch -> 8 || 8 of 14 done || time elapsed 7.1440935134887695 || current lr -> 0.0001 || current loss -> 0.14730671048164368 >
INFO:__mp_main__:< current epoch -> 8 || 9 of 14 done || time elapsed 7.150446176528931 || current lr -> 0.0001 || current loss -> 0.14254771173000336 >
INFO:__mp_main__:< current epoch -> 8 || 10 of 14 done || time elapsed 7.141631126403809 || current lr -> 0.0001 || current loss -> 0.15113812685012817 >
INFO:__mp_main__:< current epoch -> 8 || 11 of 14 done || time elapsed 7.1471686363220215 || current lr -> 0.0001 || current loss -> 0.14298614859580994 >
INFO:__mp_main__:< current epoch -> 8 || 12 of 14 done || time elapsed 7.1611692905426025 || current lr -> 0.0001 || current loss -> 0.14396880567073822 >
INFO:__mp_main__:< current epoch -> 8 || 13 of 14 done || time elapsed 7.158626556396484 || current lr -> 0.0001 || current loss -> 0.14928068220615387 >
INFO:__mp_main__:< current epoch -> 8 || 14 of 14 done || time elapsed 4.9465460777282715 || current lr -> 0.0001 || current loss -> 0.13571082055568695 >
INFO:__mp_main__:------------------------------------ 9 of 100 done, total loss 0.14761039933988027 ------------------------------------
INFO:__mp_main__:< current epoch -> 9 || 1 of 14 done || time elapsed 7.1383020877838135 || current lr -> 0.0001 || current loss -> 0.15735791623592377 >
INFO:__mp_main__:< current epoch -> 9 || 2 of 14 done || time elapsed 7.1456921100616455 || current lr -> 0.0001 || current loss -> 0.1508713960647583 >
INFO:__mp_main__:< current epoch -> 9 || 3 of 14 done || time elapsed 7.141924619674683 || current lr -> 0.0001 || current loss -> 0.14901097118854523 >
INFO:__mp_main__:< current epoch -> 9 || 4 of 14 done || time elapsed 7.140660047531128 || current lr -> 0.0001 || current loss -> 0.1458366960287094 >
